,Audit Round,Collection Number,Council,Location,Latitude,Longitude,Date,Time,Traffic_Count_Total,Butts bits/packs/matches/lighters Glass,Butts bits/packs/matches/lighters Metal,Butts bits/packs/matches/lighters Paper,Butts bits/packs/matches/lighters Plastic,Butts bits/packs/matches/lighters Total,Beverage - Alcohol Glass,Beverage - Alcohol Metal,Beverage - Alcohol Paper,Beverage - Alcohol Plastic,Beverage - Alcohol Total,Beverage - Milk Glass,Beverage - Milk Metal,Beverage - Milk Paper,Beverage - Milk Plastic,Beverage - Milk Total,Beverage - Non Alcohol Glass,Beverage - Non Alcohol Metal,Beverage - Non Alcohol Paper,Beverage - Non Alcohol Plastic,Beverage - Non Alcohol Total,Beverage bits Glass,Beverage bits Metal,Beverage bits Paper,Beverage bits Plastic,Beverage bits Total,Lolly/ice cream/snack/wraps Glass,Lolly/ice cream/snack/wraps Metal,Lolly/ice cream/snack/wraps Paper,Lolly/ice cream/snack/wraps Plastic,Food wrap/Film Glass,Food wrap/Film Metal,Food wrap/Film Paper,Food wrap/Film Plastic,Food wrap/Film Total,Take away pack/plates/clams/bags Glass,Take away pack/plates/clams/bags Metal,Take away pack/plates/clams/bags Paper,Take away pack/plates/clams/bags Plastic,Take away pack/plates/clams/bags Total,Utensils/straws/sticks/bread ties/bits Glass,Utensils/straws/sticks/bread ties/bits Metal,Utensils/straws/sticks/bread ties/bits Paper,Utensils/straws/sticks/bread ties/bits Plastic,Utensils/straws/sticks/bread ties/bits Total,Receipts/tickets/paper pieces Glass,Receipts/tickets/paper pieces Metal,Receipts/tickets/paper pieces Plastic,Receipts/tickets/paper pieces Total,Personal/toys/sports gear/hair clips Glass,Personal/toys/sports gear/hair clips Metal,Personal/toys/sports gear/hair clips Paper,Personal/toys/sports gear/hair clips Plastic,Personal/toys/sports gear/hair clips Total,Other Glass,Other Metal,Other Paper,Other Plastic,Other Total,Total Glass,Total Metal,Total Paper,Total Plastic,Total Waste In Council
20,Round 1,Site 22,Balonne SC,Carnarvon Hwy,-28.35419,148.84764,2014-10-14,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Round 1,Site 23,Balonne SC,Carnarvon Hwy,-28.89322,148.93916,2014-10-14,10.15 am,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,14,0,0,0,14,0,0,0,0,0,1,0,7,8,0,0,1,0,1,0,0,0,3,3,0,0,0,0,0,0,1,0,1,1,2,0,1,4,16,3,2,13,34
22,Round 1,Site 24,Southern Downs RC,Cunningham Hwy,-28.1811,151.90774,2014-10-10,11.20 am,11,0,0,8,2,10,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,8,10,0,0,0,26,26,0,0,0,6,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,0,10,44,59
23,Round 1,Site 26,Goondiwindi RC,Cunningham Hwy,-28.49518,150.41039,2014-10-09,6.15 am,8,0,0,0,0,0,5,0,0,0,5,0,0,0,1,1,0,0,0,6,6,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,20,1,5,10,36
24,Round 1,Site 27,Goondiwindi RC,Cunningham Hwy,-28.515517,150.9177,2014-10-09,12.18 pm,8,0,0,0,0,0,3,0,0,0,3,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,5,22,19,0,3,9,31
25,Round 1,Site 29,Goondiwindi RC,Cunningham Hwy,-28.4091,151.17122,2014-10-09,10.35 am,4,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,1,1,4,0,0,0,3,0,0,1,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,7,5,16,5,1,12,18,36
26,Round 1,Site 30,Goondiwindi RC,Cunningham Hwy,-28.49829,150.56354,2014-10-09,7.22 am,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,5
27,Round 1,Site 25,Southern Downs RC,Cunningham Hwy,-28.059344,152.321498,2014-10-10,9.00 am,27,0,0,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,3,0,0,2,1,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,8,32
28,Round 1,Site 32,Goondiwindi RC,Cunningham Hwy,-28.409364,151.227522,2014-10-09,11.07 am,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,4,8
29,Round 1,Site 33,Goondiwindi RC,Cunningham Hwy,-28.492725,150.529419,2014-10-09,1.16 pm,11,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,3,8,0,0,0,8,0,0,0,1,0,0,0,0,0,0,1,0,2,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,6,0,0,1,7,15,1,0,10,26
30,Round 1,Site 34,Balonne SC,Moonie Hwy,-27.99254,148.6595,2014-10-13,2.25 pm,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,9,2,11,0,0,4,0,4,0,0,0,2,2,0,0,20,20,0,0,0,0,0,0,0,0,0,0,1,0,13,26,40
31,Round 1,Site 35,Western Downs RC,Moonie Hwy,-27.6215715049385,150.49385,2014-10-14,4.20 pm,2,0,0,0,0,0,2,0,0,0,2,0,0,0,9,9,0,0,0,37,37,105,0,0,127,232,0,0,3,11,0,1,4,1,6,0,0,5,10,15,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,1,12,197,317
32,Round 1,Site 36,Western Downs RC,Moonie Hwy,-27.52235,150.64522,2014-10-15,9.00 am,4,0,0,0,0,0,3,0,0,1,4,0,0,0,15,15,3,0,0,34,37,0,1,7,38,46,0,0,1,12,1,6,0,4,11,0,0,0,2,2,0,0,0,10,10,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,7,8,117,139
33,Round 1,Site 37,Balonne SC,Moonie Hwy,-27.96873,148.93798,2014-10-13,3.55 pm,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,2,12
34,Round 1,Site 38,Western Downs RC,Moonie Hwy,-27.32852,150.92941,2014-10-15,12.45 pm,7,0,0,0,0,0,2,0,0,0,2,0,0,0,2,2,0,0,2,7,9,1,0,0,5,6,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,20,26
